"id","name","status","category","cost","useful_life","salvage_value","funding_details","depreciation_strategy"
1,"Ryan","disposed","hardware",90810.22803337965,4.705462586105311,879.3367278242803,"purchased","straight line"
2,"Thomas","in storage","hardware",39380.47530083453,7.694844164158832,1034.2743603554504,"purchased","straight line"
3,"William","in storage","hardware",40800.899101280396,4.929145175387393,3406.687056824952,"purchased","straight line"
4,"Adam","in storage","hardware",90380.74663304628,6.471052112055195,3322.465539864149,"purchased","straight line"
5,"Alan","other","hardware",27286.461940748373,6.239945750713285,9244.90617181137,"purchased","straight line"
6,"Gerald","in storage","hardware",82375.79596224504,6.43001317461982,3949.950483178072,"purchased","straight line"
7,"Benjamin","in storage","hardware",31331.501804220818,5.23580156528128,2552.213108381253,"purchased","straight line"
8,"Daniel","disposed","hardware",33138.93617518333,9.220728476517866,5993.174498146964,"purchased","straight line"
9,"Noah","in transit","hardware",48015.36191734793,1.4413379177170027,1786.530529936412,"purchased","straight line"
10,"Joseph","other","hardware",93323.1736063476,5.663712398539354,9238.441658016227,"purchased","straight line"
11,"Michael","other","hardware",67076.18947964533,1.516779519259413,5293.381531022325,"purchased","straight line"
12,"Johnny","disposed","hardware",91271.72486140487,1.9981669179844077,6739.841805983304,"purchased","straight line"
13,"Scott","disposed","hardware",81755.20481842362,9.968948420083658,5908.420233599114,"purchased","straight line"
14,"Carl","disposed","hardware",97737.42735941565,3.286745503973062,1559.3689502408392,"purchased","straight line"
15,"John","in storage","hardware",53090.11670690094,2.059209645594137,898.8839016635342,"purchased","straight line"
16,"Daniel","in use","hardware",51291.5008123366,6.4540827155195295,4434.079054933362,"purchased","straight line"
17,"Ralph","in storage","hardware",6505.977015585618,7.720121923752377,2609.002909430126,"purchased","straight line"
18,"Russell","in transit","hardware",21910.008245021927,2.2568206781164903,7328.783522268241,"purchased","straight line"
19,"Wayne","other","hardware",33517.96290097002,1.2463022507074413,2689.870634921869,"purchased","straight line"
20,"Terry","disposed","hardware",3111.6979967086068,4.326423272150764,2534.5071938583487,"purchased","straight line"
21,"Jeremy","other","hardware",93260.77040691709,5.818906158551183,3941.2342753310204,"purchased","straight line"
22,"Lawrence","in transit","hardware",86718.15033420447,4.4423255976427445,6851.89076510348,"purchased","straight line"
23,"Eugene","other","hardware",44073.72466107625,9.990017712165114,2771.4184061846004,"purchased","straight line"
24,"Tyler","other","hardware",21325.163657237965,2.420538891332691,4295.01160766113,"purchased","straight line"
25,"Gary","in transit","hardware",35803.756485431935,7.066192096532083,2569.7447927775975,"purchased","straight line"
26,"Zachary","disposed","hardware",61265.36064912376,8.0109750492257,8616.239711266287,"purchased","straight line"
27,"Randy","in transit","hardware",30979.821806162367,4.751460499282407,1344.2311509667504,"purchased","straight line"
28,"Jerry","in transit","hardware",66294.36787652015,7.515166489642025,6247.752145506724,"purchased","straight line"
29,"Patrick","other","hardware",13479.501948115369,6.777069330375499,6079.176590181374,"purchased","straight line"
30,"Andrew","in repair","hardware",14109.73526722581,6.383629660970954,9071.502800839791,"purchased","straight line"
31,"Juan","in use","hardware",68220.16297575319,2.891570043028198,6644.250858463032,"purchased","straight line"
32,"Bradley","in storage","hardware",56119.47074788209,2.3746919251790373,4654.850629555441,"purchased","straight line"
33,"Jeremy","in use","hardware",18690.877166199938,6.703779663216174,5640.456439503456,"purchased","straight line"
34,"James","disposed","hardware",15241.944971216504,4.817553549987107,2529.9976848940873,"purchased","straight line"
35,"Sean","in repair","hardware",74864.9381054046,3.296411308333381,3736.1637918134825,"purchased","straight line"
36,"Brandon","other","hardware",6526.778312570081,6.971967466030931,4598.771114026301,"purchased","straight line"
37,"Charles","in transit","hardware",51684.06768189702,7.117617136788562,498.1055258379552,"purchased","straight line"
38,"Jacob","in repair","hardware",85096.58790163438,8.362914404404073,5899.5152876835355,"purchased","straight line"
39,"Willie","disposed","hardware",48705.85800855496,3.079125292974715,8209.77734143445,"purchased","straight line"
40,"Gary","other","hardware",30073.965973046747,3.410333446138315,2546.5205139162804,"purchased","straight line"
41,"Christian","in storage","hardware",81656.89450785868,7.93499911834273,8435.519200506322,"purchased","straight line"
42,"Jesse","in repair","hardware",11906.71232013617,4.516679859816573,8017.430046529596,"purchased","straight line"
43,"Logan","in use","hardware",79127.9945760507,7.440326307435386,3370.7821225302746,"purchased","straight line"
44,"Austin","disposed","hardware",61158.89068329672,1.991097224144071,3500.171679532619,"purchased","straight line"
45,"Christopher","in repair","hardware",78226.27479616342,6.806619854482371,8123.4787708581325,"purchased","straight line"
46,"Keith","in use","hardware",12418.677553682412,8.416237872400707,7991.762843952699,"purchased","straight line"
47,"Bruce","in transit","hardware",20456.127404800096,2.8591488241031735,2879.162397232534,"purchased","straight line"
48,"Willie","in repair","hardware",10808.485384043708,6.833401493924406,282.91607126075814,"purchased","straight line"
49,"Austin","in transit","hardware",30930.460548635852,5.054580036228526,3218.9727497843924,"purchased","straight line"
50,"Roy","disposed","hardware",51362.98024188551,5.883185679776202,3121.7171372681373,"purchased","straight line"
51,"William","disposed","hardware",5843.65794835624,3.7550756783314876,5709.069549112654,"purchased","straight line"
52,"Juan","other","hardware",31729.058774250483,9.057305704294526,5179.885779464745,"purchased","straight line"
53,"Aaron","in transit","hardware",9515.557254515361,1.0031533308540062,3110.1995717938735,"purchased","straight line"
54,"Ryan","other","hardware",70719.22346899207,8.811473142370929,249.19087867282585,"purchased","straight line"
55,"Daniel","other","hardware",62691.54072350319,5.2846453748271305,7315.356415709388,"purchased","straight line"
56,"Aaron","in use","hardware",31065.29063269702,3.3484033347456656,2550.175189503664,"purchased","straight line"
57,"Albert","in repair","hardware",79816.53561204142,9.72513499232518,8468.3002233338,"purchased","straight line"
58,"Gary","other","hardware",79099.28631619879,6.230748760099885,4095.9289694001477,"purchased","straight line"
59,"Bruce","other","hardware",62628.04472379946,8.253637813830226,586.2649178516932,"purchased","straight line"
60,"Charles","in repair","hardware",96949.8115515415,2.8644170644039417,8436.157179526452,"purchased","straight line"
61,"Gerald","in repair","hardware",10642.869669836386,1.3802024695069588,8479.423265685058,"purchased","straight line"
62,"Nicholas","disposed","hardware",36230.0544239012,2.3529798405424187,7196.735824971902,"purchased","straight line"
63,"George","in use","hardware",9856.854404834892,8.787888729156233,4195.857047855944,"purchased","straight line"
64,"Gabriel","in repair","hardware",29088.734824655538,1.9611417390112535,6085.567042765818,"purchased","straight line"
65,"Keith","other","hardware",48268.1699047668,4.384446198671743,7593.553556672591,"purchased","straight line"
66,"Gabriel","other","hardware",94702.69111074848,6.708303439621582,8027.697896728972,"purchased","straight line"
67,"Daniel","disposed","hardware",38881.73379180054,7.297314248531606,6772.270190160991,"purchased","straight line"
68,"Jordan","in repair","hardware",78532.74905334457,7.7365471201894,7776.43287890089,"purchased","straight line"
69,"Sean","in repair","hardware",98948.37644832324,4.596160146755809,2035.1035718800804,"purchased","straight line"
70,"Bryan","other","hardware",72147.18292652586,3.01501424948011,2090.9140191357656,"purchased","straight line"
71,"Richard","in repair","hardware",70867.27853510457,2.8084620773303106,710.1529865195644,"purchased","straight line"
72,"Frank","in storage","hardware",14322.520475271484,4.386814474423238,4849.357924432122,"purchased","straight line"
73,"Justin","other","hardware",42394.30667306462,8.399085188957208,9965.29573494161,"purchased","straight line"
74,"Roy","in use","hardware",84696.16252566739,4.040309689960715,5604.393718411077,"purchased","straight line"
75,"John","other","hardware",53978.98025132502,7.84915611666336,9014.765284033945,"purchased","straight line"
76,"Jerry","in repair","hardware",7636.669760104653,2.6461010465532757,2967.104374509347,"purchased","straight line"
77,"Joe","in storage","hardware",34198.24094953703,5.296403784924378,3078.605241576764,"purchased","straight line"
78,"Andrew","other","hardware",10695.029102888699,9.52293462657291,52.34291088119014,"purchased","straight line"
79,"Thomas","in repair","hardware",67319.29814688594,2.960381037463071,1987.0540190223207,"purchased","straight line"
80,"Gabriel","in transit","hardware",62368.184196344526,2.6519269848485583,4347.538127857646,"purchased","straight line"
81,"Donald","disposed","hardware",67358.61776863644,3.9802133261333634,1796.0178527179494,"purchased","straight line"
82,"Ryan","other","hardware",46621.26743007966,7.926226001456825,9992.120731028084,"purchased","straight line"
83,"Louis","in storage","hardware",41958.916660987124,8.58521267308586,353.3635566712723,"purchased","straight line"
84,"Robert","in storage","hardware",16126.246673679712,2.674621787785412,5406.244024699707,"purchased","straight line"
85,"Kevin","in storage","hardware",65336.00567149049,1.561509463662344,794.4646034409786,"purchased","straight line"
86,"Peter","in use","hardware",56878.21493116446,5.969915550986844,3079.9896519319127,"purchased","straight line"
87,"Philip","in transit","hardware",93338.13960294041,8.215925665168076,6213.263767157227,"purchased","straight line"
88,"Robert","in transit","hardware",57689.668723102,8.347718677509505,1693.9713259495936,"purchased","straight line"
89,"Carl","other","hardware",20479.661647931767,3.0226944091118932,3486.8269481738257,"purchased","straight line"
90,"Jason","other","hardware",65860.2639154954,8.16387816087866,4021.7895489271527,"purchased","straight line"
91,"Frank","disposed","hardware",65815.47214837979,2.4145789089687284,7671.205187855138,"purchased","straight line"
92,"Samuel","in repair","hardware",94581.021424346,9.552413211372588,6809.75384520229,"purchased","straight line"
93,"Russell","disposed","hardware",46732.99879368222,6.180235318879221,8196.603960307519,"purchased","straight line"
94,"Douglas","in repair","hardware",83532.96322912327,7.534715152872594,9534.982441168906,"purchased","straight line"
95,"Billy","disposed","hardware",10915.994786972438,1.079551311605196,5243.139721010139,"purchased","straight line"
96,"Randy","other","hardware",47287.454509613155,7.637256081208419,7976.0273803023565,"purchased","straight line"
97,"Randy","in storage","hardware",13343.572787338066,4.975843871648012,7637.339561807951,"purchased","straight line"
98,"David","in use","hardware",48635.866898447144,4.270896694452551,3780.1217581172596,"purchased","straight line"
